fileName,config,valueSol,tempExec,,
instances/qbf020,A,-125,0.009,,X
instances/qbf020,B,-125,0.042,,X
instances/qbf020,C,-125,0.017,,X
instances/qbf020,D,-125,0.007,,X
instances/qbf020,P,-125,0.197,,X
instances/qbf040,A,-366,0.041,,X
instances/qbf040,B,-366,0.184,,X
instances/qbf040,C,-366,1.586,,X
instances/qbf040,D,-366,0.257,,X
instances/qbf040,P,-366,0.569,,X
instances/qbf060,A,-508,1800.012,,X
instances/qbf060,B,-508,1800.012,,X
instances/qbf060,C,-502,1800.013,,
instances/qbf060,D,-503,1800.002,,
instances/qbf060,P,-500,1800.082,,
instances/qbf080,P,-814,1800.048,,
instances/qbf080,A,-851,1800.005,,X
instances/qbf080,B,-851,1800.002,,
instances/qbf080,C,-813,1800.002,,
instances/qbf080,D,-828,1800.003,,
instances/qbf100,A,-1263,1800.016,,X
instances/qbf100,B,-1197,1800.007,,
instances/qbf100,C,-1121,1800.011,,
instances/qbf100,D,-1106,1800.004,,
instances/qbf100,P,-1076,1800.065,,
instances/qbf200,A,-4041,1800.017,,X
instances/qbf200,B,-3481,1800.004,,
instances/qbf200,C,-3555,1800.004,,
instances/qbf200,D,-3712,1800.003,,
instances/qbf200,P,-3603,1800.051,,
instances/qbf400,A,-10880,1800.572,,X
instances/qbf400,B,-10695,1800.015,,
instances/qbf400,C,-9988,1800.009,,
instances/qbf400,D,-10379,1800.012,,
instances/qbf400,P,-10139,1800.15,,
